name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509392760010244,1754509392855667130,95656886
ArborX::Sorting,user_region,1754509392756008792,1754509392855669220,99660428
ArborX::DBSCAN::dense_cells,user_region,1754509392698625664,1754509393331723010,633097346
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754509393336988893,1754509393363974726,26985833
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754509393363976746,1754509393378854313,14877567
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509393381450784,1754509393448498117,67047333
ArborX::Sorting,user_region,1754509393378858203,1754509393448501167,69642964
ArborX::BVH::BVH::sort_linearized_order,user_region,1754509393378856193,1754509393448502747,69646554
ArborX::BVH::BVH::generate_hierarchy,user_region,1754509393448505707,1754509393564716313,116210606
ArborX::BVH::BVH,user_region,1754509393336987143,1754509393566978114,229990971
ArborX::DBSCAN::tree_construction,user_region,1754509393331725120,1754509393566980084,235254964
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509393580797501,1754509393616238118,35440617
ArborX::Sorting,user_region,1754509393575846638,1754509393616241378,40394740
ArborX::BVH::query::spatial::compute_permutation,user_region,1754509393567018024,1754509393617387419,50369395
ArborX::BVH::query::spatial,user_region,1754509393567016194,1754509395895806851,2328790657
ArborX::DBSCAN::clusters::query,user_region,1754509393566983924,1754509395895810641,2328826717
ArborX::DBSCAN::clusters,user_region,1754509393566982354,1754509396141011590,2574029236
ArborX::DBSCAN,user_region,1754509392697897993,1754509396141013820,3443115827
DBSCANCalculation,user_region,1754509392697890683,1754509396142815371,3444924688
