name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754510047042865856,1754510047113172203,70306347
ArborX::Sorting,user_region,1754510047039838365,1754510047113174363,73335998
ArborX::DBSCAN::dense_cells,user_region,1754510046989075515,1754510047402266724,413191209
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754510047407240046,1754510047425479533,18239487
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754510047425481593,1754510047435147577,9665984
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754510047437336308,1754510047486976587,49640279
ArborX::Sorting,user_region,1754510047435151247,1754510047486978917,51827670
ArborX::BVH::BVH::sort_linearized_order,user_region,1754510047435149257,1754510047486980477,51831220
ArborX::BVH::BVH::generate_hierarchy,user_region,1754510047486983187,1754510047554926233,67943046
ArborX::BVH::BVH,user_region,1754510047407237976,1754510047557174324,149936348
ArborX::DBSCAN::tree_construction,user_region,1754510047402268564,1754510047557176524,154907960
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754510047566801557,1754510047594086288,27284731
ArborX::Sorting,user_region,1754510047562834666,1754510047594088548,31253882
ArborX::BVH::query::spatial::compute_permutation,user_region,1754510047557213344,1754510047595225798,38012454
ArborX::BVH::query::spatial,user_region,1754510047557211564,1754510048983854012,1426642448
ArborX::DBSCAN::clusters::query,user_region,1754510047557180414,1754510048983856952,1426676538
ArborX::DBSCAN::clusters,user_region,1754510047557178714,1754510049138646461,1581467747
ArborX::DBSCAN,user_region,1754510046989037335,1754510049138647801,2149610466
DBSCANCalculation,user_region,1754510046989029865,1754510049139913192,2150883327
