name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509481527643012,1754509481624608384,96965372
ArborX::Sorting,user_region,1754509481523384611,1754509481624612134,101227523
ArborX::DBSCAN::dense_cells,user_region,1754509481457234017,1754509482091592497,634358480
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754509482095864668,1754509482123477594,27612926
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754509482123480564,1754509482138277607,14797043
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509482141065328,1754509482209007013,67941685
ArborX::Sorting,user_region,1754509482138282897,1754509482209010003,70727106
ArborX::BVH::BVH::sort_linearized_order,user_region,1754509482138280277,1754509482209011743,70731466
ArborX::BVH::BVH::generate_hierarchy,user_region,1754509482209014953,1754509482322541878,113526925
ArborX::BVH::BVH,user_region,1754509482095862338,1754509482325028928,229166590
ArborX::DBSCAN::tree_construction,user_region,1754509482091595707,1754509482325031328,233435621
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509482338841081,1754509482373281229,34440148
ArborX::Sorting,user_region,1754509482333861290,1754509482373284109,39422819
ArborX::BVH::query::spatial::compute_permutation,user_region,1754509482325073798,1754509482374582199,49508401
ArborX::BVH::query::spatial,user_region,1754509482325071138,1754509484888065844,2562994706
ArborX::DBSCAN::clusters::query,user_region,1754509482325035968,1754509484888069774,2563033806
ArborX::DBSCAN::clusters,user_region,1754509482325033928,1754509485130273658,2805239730
ArborX::DBSCAN,user_region,1754509481456544456,1754509485130275958,3673731502
DBSCANCalculation,user_region,1754509481456534566,1754509485131900538,3675365972
