name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754510143706984643,1754510143777232993,70248350
ArborX::Sorting,user_region,1754510143703986250,1754510143777234943,73248693
ArborX::DBSCAN::dense_cells,user_region,1754510143643100090,1754510144066165342,423065252
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754510144071054168,1754510144089736149,18681981
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754510144089738099,1754510144099314110,9576011
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754510144101378702,1754510144150684808,49306106
ArborX::Sorting,user_region,1754510144099317970,1754510144150687528,51369558
ArborX::BVH::BVH::sort_linearized_order,user_region,1754510144099315930,1754510144150689128,51373198
ArborX::BVH::BVH::generate_hierarchy,user_region,1754510144150691888,1754510144218799386,68107498
ArborX::BVH::BVH,user_region,1754510144071052178,1754510144221116639,150064461
ArborX::DBSCAN::tree_construction,user_region,1754510144066167072,1754510144221118699,154951627
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754510144230664319,1754510144257848900,27184581
ArborX::Sorting,user_region,1754510144226778135,1754510144257850770,31072635
ArborX::BVH::query::spatial::compute_permutation,user_region,1754510144221149969,1754510144258987392,37837423
ArborX::BVH::query::spatial,user_region,1754510144221148139,1754510145650086946,1428938807
ArborX::DBSCAN::clusters::query,user_region,1754510144221122579,1754510145650090446,1428967867
ArborX::DBSCAN::clusters,user_region,1754510144221120959,1754510145804892102,1583771143
ArborX::DBSCAN,user_region,1754510143642883570,1754510145804893742,2162010172
DBSCANCalculation,user_region,1754510143642876080,1754510145806203284,2163327204
