name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509583418349424,1754509583490242677,71893253
ArborX::Sorting,user_region,1754509583415229832,1754509583490245837,75016005
ArborX::DBSCAN::dense_cells,user_region,1754509583341401728,1754509583785700612,444298884
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754509583792584145,1754509583811785554,19201409
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754509583811788774,1754509583821713719,9924945
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509583824050310,1754509583874561183,50510873
ArborX::Sorting,user_region,1754509583821720999,1754509583874566593,52845594
ArborX::BVH::BVH::sort_linearized_order,user_region,1754509583821717109,1754509583874569363,52852254
ArborX::BVH::BVH::generate_hierarchy,user_region,1754509583874573813,1754509583943420215,68846402
ArborX::BVH::BVH,user_region,1754509583792581105,1754509583946567766,153986661
ArborX::DBSCAN::tree_construction,user_region,1754509583785704442,1754509583946571596,160867154
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509583956789291,1754509583985152354,28363063
ArborX::Sorting,user_region,1754509583952363189,1754509583985157474,32794285
ArborX::BVH::query::spatial::compute_permutation,user_region,1754509583946633756,1754509583986806025,40172269
ArborX::BVH::query::spatial,user_region,1754509583946631346,1754509585376467563,1429836217
ArborX::DBSCAN::clusters::query,user_region,1754509583946577346,1754509585376471923,1429894577
ArborX::DBSCAN::clusters,user_region,1754509583946574896,1754509585535816576,1589241680
ArborX::DBSCAN,user_region,1754509583341357708,1754509585535818776,2194461068
DBSCANCalculation,user_region,1754509583341348628,1754509585537590287,2196241659
