name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509978634866425,1754509978705101232,70234807
ArborX::Sorting,user_region,1754509978631884794,1754509978705103252,73218458
ArborX::DBSCAN::dense_cells,user_region,1754509978581417165,1754509978994167233,412750068
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754509978998974395,1754509979017522862,18548467
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754509979017524412,1754509979026995546,9471134
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509979029009177,1754509979078353446,49344269
ArborX::Sorting,user_region,1754509979026998956,1754509979078355446,51356490
ArborX::BVH::BVH::sort_linearized_order,user_region,1754509979026997086,1754509979078356896,51359810
ArborX::BVH::BVH::generate_hierarchy,user_region,1754509979078359586,1754509979146156432,67796846
ArborX::BVH::BVH,user_region,1754509978998972615,1754509979148402933,149430318
ArborX::DBSCAN::tree_construction,user_region,1754509978994168843,1754509979148404763,154235920
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509979157951576,1754509979185091547,27139971
ArborX::Sorting,user_region,1754509979154046325,1754509979185093637,31047312
ArborX::BVH::query::spatial::compute_permutation,user_region,1754509979148434853,1754509979186226377,37791524
ArborX::BVH::query::spatial,user_region,1754509979148433153,1754509980576219722,1427786569
ArborX::DBSCAN::clusters::query,user_region,1754509979148408713,1754509980576222202,1427813489
ArborX::DBSCAN::clusters,user_region,1754509979148407203,1754509980730847931,1582440728
ArborX::DBSCAN,user_region,1754509978581381395,1754509980730849361,2149467966
DBSCANCalculation,user_region,1754509978581374625,1754509980732103542,2150728917
