name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509964427302824,1754509964497659601,70356777
ArborX::Sorting,user_region,1754509964424189193,1754509964497661761,73472568
ArborX::DBSCAN::dense_cells,user_region,1754509964361073679,1754509964786794662,425720983
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754509964791753564,1754509964810380641,18627077
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754509964810382471,1754509964820013655,9631184
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509964822206326,1754509964871646665,49440339
ArborX::Sorting,user_region,1754509964820017675,1754509964871648825,51631150
ArborX::BVH::BVH::sort_linearized_order,user_region,1754509964820015665,1754509964871650425,51634760
ArborX::BVH::BVH::generate_hierarchy,user_region,1754509964871653375,1754509964939851261,68197886
ArborX::BVH::BVH,user_region,1754509964791751664,1754509964942099682,150348018
ArborX::DBSCAN::tree_construction,user_region,1754509964786796612,1754509964942101792,155305180
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509964951771436,1754509964979085936,27314500
ArborX::Sorting,user_region,1754509964947786544,1754509964979087856,31301312
ArborX::BVH::query::spatial::compute_permutation,user_region,1754509964942145462,1754509964980233747,38088285
ArborX::BVH::query::spatial,user_region,1754509964942143632,1754509966369325930,1427182298
ArborX::DBSCAN::clusters::query,user_region,1754509964942105872,1754509966369329881,1427224009
ArborX::DBSCAN::clusters,user_region,1754509964942104302,1754509966524202100,1582097798
ArborX::DBSCAN,user_region,1754509964361036589,1754509966524203600,2163167011
DBSCANCalculation,user_region,1754509964361029589,1754509966525494341,2164464752
