time_epoch_ns,power_w
1754510000749870977,97.210000
1754510000768333784,97.210000
1754510000788330602,97.112000
1754510000813463461,97.112000
1754510000828337357,97.112000
1754510000848334655,97.112000
1754510000868336103,97.112000
1754510000888334900,96.669000
1754510000914332510,96.669000
1754510000928332156,96.669000
1754510000948409714,96.669000
1754510000968332631,96.669000
1754510000988338759,97.210000
1754510001015333649,97.210000
1754510001028335914,97.210000
1754510001048399482,97.210000
1754510001068328310,97.210000
1754510001092340999,96.143000
1754510001116335418,96.143000
1754510001128333783,96.143000
1754510001148332741,96.143000
1754510001168333148,96.143000
1754510001188331576,96.628000
1754510001217343207,96.628000
1754510001228333231,96.628000
1754510001248331999,96.628000
1754510001268330637,96.628000
1754510001288331234,96.184000
1754510001318330576,96.184000
1754510001329329810,96.184000
1754510001348328547,96.184000
1754510001368328785,96.184000
1754510001388326443,96.669000
1754510001408377691,96.669000
1754510001428328468,96.669000
1754510001448331626,96.669000
1754510001476332027,96.143000
1754510001488319641,96.143000
1754510001508319379,96.143000
1754510001530323267,96.143000
1754510001548322344,96.143000
1754510001568323272,96.143000
1754510001588323010,96.571000
1754510001608323977,96.571000
1754510001631328046,96.571000
1754510001648323283,96.571000
1754510001668326270,96.571000
1754510001688322688,96.143000
1754510001708323286,96.143000
1754510001732322635,96.143000
1754510001748323841,96.143000
1754510001768321069,96.143000
1754510001788318877,96.628000
1754510001808326904,96.628000
1754510001833326264,96.628000
1754510001848323180,96.628000
1754510001868322387,96.628000
1754510001888321955,96.143000
1754510001908318273,96.143000
1754510001934319883,96.143000
1754510001948317248,96.143000
1754510001968323146,96.143000
1754510001988320094,96.628000
1754510002008317531,96.628000
1754510002035319462,96.628000
1754510002048316867,96.628000
1754510002068321524,96.628000
1754510002088319822,96.143000
1754510002108320590,96.143000
1754510002136322430,96.143000
1754510002148316775,96.143000
1754510002168319543,96.143000
1754510002188316061,96.628000
1754510002208319588,96.628000
1754510002237322729,96.628000
1754510002248319824,96.628000
1754510002268316701,96.628000
1754510002288317549,95.658000
1754510002308323317,95.658000
1754510002338318178,95.658000
1754510002349321612,95.658000
1754510002368321070,95.658000
1754510002388320787,96.143000
1754510002408456815,96.143000
1754510002428352283,96.143000
1754510002448318950,96.143000
1754510002468321378,96.143000
1754510002488412806,95.658000
1754510002508319033,95.658000
1754510002528318441,95.658000
1754510002550321840,95.658000
1754510002568317487,95.658000
1754510002588322684,96.143000
1754510002608318452,96.143000
1754510002628323710,96.143000
1754510002651329098,96.143000
1754510002668322485,96.143000
1754510002688323113,96.143000
1754510002708326000,96.143000
1754510002728323108,96.143000
1754510002752323107,96.143000
1754510002768321163,96.143000
1754510002788323231,96.143000
1754510002808325819,96.143000
1754510002828322376,96.143000
1754510002853318516,96.143000
1754510002868320152,96.143000
1754510002888318460,95.658000
1754510002908321887,95.658000
1754510002928317535,95.658000
1754510002954317675,95.658000
1754510002968319310,95.658000
1754510002988319388,96.143000
1754510003008318076,96.143000
1754510003028318863,96.143000
1754510003055323364,96.143000
1754510003068325709,96.143000
1754510003088317766,95.658000
1754510003108319334,95.658000
1754510003128318112,95.658000
1754510003156319613,95.658000
1754510003168318597,95.658000
1754510003188318805,96.143000
1754510003208318092,96.143000
1754510003228320260,96.143000
1754510003257455321,96.143000
1754510003268323736,96.143000
1754510003288317353,95.658000
1754510003308316711,95.658000
1754510003328320759,95.658000
1754510003358325120,95.658000
1754510003369316544,95.658000
1754510003388318062,96.137000
1754510003408318739,96.137000
1754510003428323907,96.137000
1754510003448359375,96.137000
1754510003468319792,96.137000
1754510003488389440,95.658000
1754510003508320468,95.658000
1754510003528322555,95.658000
1754510003548329633,95.658000
1754510003570323362,95.658000
1754510003588319919,95.658000
1754510003608318566,95.658000
1754510003628318354,95.658000
1754510003648318282,95.658000
1754510003671323401,95.658000
1754510003688316647,95.173000
1754510003708317305,95.173000
1754510003728320603,95.173000
1754510003748316861,95.173000
1754510003772326090,95.173000
1754510003788317996,95.658000
1754510003808316224,95.658000
1754510003828320671,95.658000
1754510003848316379,95.658000
1754510003873319139,95.658000
1754510003888316524,95.173000
1754510003908318272,95.173000
1754510003928320200,95.173000
1754510003948316807,95.173000
1754510003974321187,95.173000
1754510003988320853,95.658000
1754510004008315760,95.658000
1754510004028319338,95.658000
1754510004048317176,95.658000
1754510004075323206,95.658000
1754510004088322101,95.173000
1754510004108316969,95.173000
1754510004128320866,95.173000
1754510004148319134,95.173000
1754510004176321885,95.173000
1754510004188317650,95.658000
1754510004208317647,95.658000
1754510004228321345,95.658000
1754510004248317823,95.658000
1754510004277321044,95.658000
1754510004288316088,95.173000
1754510004308315386,95.173000
1754510004328317783,95.173000
1754510004348317241,95.173000
1754510004378323873,95.173000
1754510004389327277,95.658000
1754510004408318344,95.658000
