time_epoch_ns,power_w
1754511098814865135,97.210000
1754511098835341126,97.210000
1754511098853324865,97.210000
1754511098875331106,97.210000
1754511098893331975,97.210000
1754511098913329615,97.210000
1754511098933331025,97.210000
1754511098953334655,97.153000
1754511098976327457,97.153000
1754511098993328766,97.153000
1754511099013326916,97.153000
1754511099033328116,97.153000
1754511099053329036,97.112000
1754511099077333138,97.112000
1754511099093331256,97.112000
1754511099113333156,97.112000
1754511099133333866,97.112000
1754511099153330896,97.210000
1754511099178335849,97.210000
1754511099193334816,97.210000
1754511099213334757,97.210000
1754511099233328857,97.210000
1754511099253330527,97.153000
1754511099279341790,97.153000
1754511099293338947,97.153000
1754511099313338857,97.153000
1754511099333336787,97.153000
1754511099353346497,97.210000
1754511099380340461,97.210000
1754511099393365557,97.210000
1754511099413338997,97.210000
1754511099433339648,97.210000
1754511099460337231,97.210000
1754511099482336482,97.210000
1754511099493324828,97.210000
1754511099513327698,97.210000
1754511099533322228,97.210000
1754511099553324628,96.726000
1754511099583333223,96.726000
1754511099594328659,96.726000
1754511099613326728,96.726000
1754511099633325849,96.726000
1754511099653326349,97.112000
1754511099673366939,97.112000
1754511099693320949,97.112000
1754511099713331649,97.112000
1754511099733332519,97.112000
1754511099753321929,96.726000
1754511099773325579,96.726000
1754511099795325870,96.726000
1754511099813326879,96.726000
1754511099833327919,96.726000
1754511099853323360,97.210000
1754511099873326210,97.210000
1754511099896322911,97.210000
1754511099913323640,97.210000
1754511099933320860,97.210000
1754511099953327060,96.726000
1754511099973365310,96.726000
1754511099997328692,96.726000
1754511100013325560,96.726000
1754511100033325470,96.726000
1754511100053321660,97.112000
1754511100073317130,97.112000
1754511100098324353,97.112000
1754511100113324391,97.112000
1754511100133329201,97.112000
1754511100153325501,96.143000
1754511100173321681,96.143000
1754511100199329134,96.143000
1754511100213321311,96.143000
1754511100233326011,96.143000
1754511100253323851,96.628000
1754511100273324421,96.628000
1754511100300333945,96.628000
1754511100313332982,96.628000
1754511100333336452,96.628000
1754511100353336123,96.241000
1754511100373341873,96.241000
1754511100401333678,96.241000
1754511100413338714,96.241000
1754511100433337335,96.241000
1754511100453340046,96.726000
1754511100473472167,96.726000
1754511100502332732,96.726000
1754511100513322368,96.726000
1754511100533326458,96.726000
1754511100553326849,96.143000
1754511100573322500,96.143000
1754511100603330065,96.143000
1754511100614326581,96.143000
1754511100633326841,96.143000
1754511100653327552,96.726000
1754511100673325783,96.726000
1754511100693377594,96.726000
1754511100713327204,96.726000
1754511100733326745,96.726000
1754511100753327515,96.143000
1754511100773321726,96.143000
1754511100793328677,96.143000
1754511100815325478,96.143000
1754511100833334798,96.143000
1754511100853335888,96.628000
1754511100873336049,96.628000
1754511100893344470,96.628000
1754511100916336342,96.628000
1754511100933337091,96.628000
1754511100953333682,96.143000
1754511100973337142,96.143000
1754511100993338773,96.143000
1754511101017335366,96.143000
1754511101033337824,96.143000
1754511101053337725,96.628000
1754511101073335945,96.628000
1754511101093334826,96.628000
1754511101118345369,96.628000
1754511101133334237,96.628000
1754511101153346098,96.143000
1754511101173336069,96.143000
1754511101193338479,96.143000
1754511101219341993,96.143000
1754511101233334630,96.143000
1754511101253334201,96.628000
1754511101273339592,96.628000
1754511101293337032,96.628000
1754511101320335027,96.628000
1754511101333338564,96.628000
1754511101353339804,96.241000
1754511101373336665,96.241000
1754511101393338386,96.241000
1754511101421336870,96.241000
1754511101433383877,96.241000
1754511101453339217,96.086000
1754511101473333758,96.086000
1754511101493335819,96.086000
1754511101522343614,96.086000
1754511101533334160,96.086000
1754511101553335561,95.658000
1754511101573348041,95.658000
1754511101593335812,95.658000
1754511101623338168,95.658000
1754511101634337384,95.658000
1754511101653336114,96.143000
1754511101673337154,96.143000
1754511101693336225,96.143000
1754511101713387856,96.143000
1754511101733340506,96.143000
1754511101753335647,95.658000
1754511101773334648,95.658000
1754511101793336128,95.658000
1754511101813337199,95.658000
1754511101835333971,95.658000
1754511101853342690,96.143000
1754511101873337501,96.143000
1754511101893331561,96.143000
1754511101913334512,96.143000
1754511101936335144,96.143000
1754511101953335253,95.658000
1754511101973338094,95.658000
1754511101993337805,95.658000
1754511102013335985,95.658000
1754511102037338318,95.658000
1754511102053340916,96.143000
1754511102073340737,96.143000
1754511102093334628,96.143000
1754511102113335218,96.143000
1754511102138336182,96.143000
1754511102153338200,95.658000
1754511102173340970,95.658000
1754511102193333841,95.658000
1754511102213337441,95.658000
1754511102239336775,95.658000
1754511102253340083,96.143000
1754511102273339213,96.143000
1754511102293339654,96.143000
1754511102313336265,96.143000
1754511102340339279,96.143000
1754511102353333866,95.658000
1754511102373335987,95.658000
1754511102393336267,95.658000
1754511102413335248,95.658000
1754511102441331773,95.658000
1754511102453335489,96.143000
1754511102473336100,96.143000
1754511102493333390,96.143000
1754511102513335451,96.143000
1754511102542339056,96.143000
1754511102553335532,95.658000
1754511102573340613,95.658000
1754511102593336633,95.658000
1754511102613335944,95.658000
1754511102643338690,95.658000
1754511102654337766,96.143000
1754511102673333736,96.143000
1754511102693336207,96.143000
1754511102713336127,96.143000
1754511102733389618,96.143000
1754511102753334519,95.658000
1754511102773340829,95.658000
1754511102793335100,95.658000
1754511102813334771,95.658000
1754511102833339191,95.658000
1754511102855340843,96.143000
1754511102873329492,96.143000
1754511102893325243,96.143000
1754511102917327526,96.143000
1754511102933326864,96.143000
1754511102956331227,95.658000
1754511102973324436,95.658000
1754511102993330236,95.658000
1754511103013326207,95.658000
1754511103033351227,95.658000
1754511103057326740,96.143000
1754511103073327139,96.143000
1754511103093324719,96.143000
1754511103113324240,96.143000
1754511103133322981,96.143000
1754511103158329404,95.173000
1754511103173321592,95.173000
1754511103193325993,95.173000
1754511103213324893,95.173000
1754511103233320084,95.173000
1754511103259338938,96.143000
1754511103273335015,96.143000
1754511103293336716,96.143000
1754511103313340936,96.143000
1754511103333348677,96.143000
1754511103360343721,95.173000
1754511103373333608,95.173000
1754511103393336659,95.173000
1754511103413332810,95.173000
1754511103433338620,95.173000
1754511103461331225,95.658000
1754511103473345351,95.658000
1754511103493337572,95.658000
1754511103513340713,95.658000
1754511103533334983,95.658000
1754511103562344659,95.173000
1754511103573336665,95.173000
1754511103593336125,95.173000
1754511103613332246,95.173000
1754511103633337426,95.173000
1754511103663341022,95.658000
1754511103674339348,95.658000
1754511103693340038,95.658000
1754511103713335709,95.658000
1754511103733336560,95.658000
1754511103753379960,95.658000
1754511103773335451,95.173000
1754511103793334072,95.173000
1754511103813335152,95.173000
1754511103833338663,95.173000
1754511103853335943,95.173000
1754511103875339915,95.658000
1754511103893337815,95.658000
1754511103913334965,95.658000
1754511103933336386,95.658000
1754511103953337257,95.658000
1754511103978335320,95.173000
1754511103993336298,95.173000
1754511104013334568,95.173000
1754511104033332969,95.173000
1754511104053329920,95.173000
1754511104077333533,95.658000
1754511104093330741,95.658000
1754511104113331742,95.658000
1754511104133332262,95.658000
1754511104153335963,95.658000
1754511104178334616,95.173000
1754511104193333804,95.173000
1754511104217355327,95.173000
1754511104239340939,95.173000
1754511104253340596,95.173000
1754511104279338770,95.658000
1754511104293336647,95.658000
1754511104313337748,95.658000
1754511104333336839,95.658000
1754511104353337949,95.658000
1754511104380336014,95.173000
1754511104393332540,95.173000
1754511104413342011,95.173000
1754511104433333282,95.173000
1754511104453336972,95.173000
1754511104481340577,95.658000
1754511104493333754,95.658000
1754511104513334264,95.658000
1754511104533346255,95.658000
1754511104553336956,95.658000
1754511104582335581,95.173000
1754511104593332067,95.173000
1754511104613337918,95.173000
1754511104633335958,95.173000
1754511104653338029,95.173000
1754511104683338565,95.658000
1754511104694337511,95.658000
1754511104713346781,95.658000
1754511104733335221,95.658000
1754511104753337322,95.658000
1754511104773384093,95.173000
1754511104793339773,95.173000
1754511104813333024,95.173000
1754511104833335694,95.173000
