name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754510625763796470,1754510625814390586,50594116
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754510625814393356,1754510625820579890,6186534
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754510625823671382,1754510625898601475,74930093
ArborX::Sorting,user_region,1754510625820592750,1754510625898604285,78011535
ArborX::BVH::BVH::sort_linearized_order,user_region,1754510625820582290,1754510625898606265,78023975
ArborX::BVH::BVH::generate_hierarchy,user_region,1754510625898609705,1754510625985731917,87122212
ArborX::BVH::BVH,user_region,1754510625763794080,1754510625989003589,225209509
ArborX::DBSCAN::tree_construction,user_region,1754510625760717598,1754510625989005439,228287841
ArborX::DBSCAN::clusters::query,user_region,1754510625992124021,1754510628289215324,2297091303
ArborX::DBSCAN::clusters,user_region,1754510625992122411,1754510628447091445,2454969034
ArborX::DBSCAN,user_region,1754510625760673208,1754510628447092965,2686419757
DBSCANCalculation,user_region,1754510625760664188,1754510628448377006,2687712818
