name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754511198479651853,1754511198542070396,62418543
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754511198542073446,1754511198548278080,6204634
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754511198551389681,1754511198626795881,75406200
ArborX::Sorting,user_region,1754511198548302220,1754511198626798921,78496701
ArborX::BVH::BVH::sort_linearized_order,user_region,1754511198548280440,1754511198626800951,78520511
ArborX::BVH::BVH::generate_hierarchy,user_region,1754511198626804081,1754511198713798578,86994497
ArborX::BVH::BVH,user_region,1754511198479649443,1754511198718335140,238685697
ArborX::DBSCAN::tree_construction,user_region,1754511198476326691,1754511198718337700,242011009
ArborX::DBSCAN::clusters::query,user_region,1754511198721550682,1754511201016646712,2295096030
ArborX::DBSCAN::clusters,user_region,1754511198721548352,1754511201180973899,2459425547
ArborX::DBSCAN,user_region,1754511198476271721,1754511201180975379,2704703658
DBSCANCalculation,user_region,1754511198476261531,1754511201182305230,2706043699
