name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754511024009520376,1754511024073660999,64140623
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754511024073664009,1754511024080018872,6354863
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754511024083284614,1754511024157505331,74220717
ArborX::Sorting,user_region,1754511024080034932,1754511024157507671,77472739
ArborX::BVH::BVH::sort_linearized_order,user_region,1754511024080021772,1754511024157509491,77487719
ArborX::BVH::BVH::generate_hierarchy,user_region,1754511024157512341,1754511024245185235,87672894
ArborX::BVH::BVH,user_region,1754511024009517666,1754511024249624077,240106411
ArborX::DBSCAN::tree_construction,user_region,1754511024006354265,1754511024249627807,243273542
ArborX::DBSCAN::clusters::query,user_region,1754511024252916209,1754511026542700164,2289783955
ArborX::DBSCAN::clusters,user_region,1754511024252914149,1754511026708074148,2455159999
ArborX::DBSCAN,user_region,1754511024006285935,1754511026708076808,2701790873
DBSCANCalculation,user_region,1754511024006276035,1754511026709917789,2703641754
